"","5000","10000","15000","20000","25000","30000"
"8122_lkflag","0.0027(0.0014)","0.0057(0.0014)","0.0059(0.0012)","0.0065(6e-04)","0.0067(7e-04)","0.0074(8e-04)"
"8201_rbf","0.0087(0.0013)","0.0086(8e-04)","0.008(8e-04)","0.0084(7e-04)","0.0077(6e-04)","0.0082(6e-04)"
"8201_lkflag","0.0015(2e-04)","0.0034(5e-04)","0.0038(4e-04)","0.0044(4e-04)","0.0042(3e-04)","0.0045(4e-04)"
"8202_rbf","0.0062(8e-04)","0.0059(8e-04)","0.006(6e-04)","0.006(7e-04)","0.0058(4e-04)","0.0057(4e-04)"
"8202_lkflag","0.0012(3e-04)","0.0021(3e-04)","0.0027(3e-04)","0.0027(2e-04)","0.0028(3e-04)","0.0028(2e-04)"
"8211_rbf","0.0067(0.0023)","0.0075(0.0019)","0.0073(9e-04)","0.0063(0.0012)","0.0062(0.0015)","0.0067(0.0013)"
"8211_lkflag","0.0032(0.0015)","0.0078(0.0018)","0.0094(0.0014)","0.0086(0.0014)","0.0095(0.0016)","0.0099(0.0014)"
"8212_rbf","0.0048(0.0024)","0.0051(9e-04)","0.0043(9e-04)","0.0041(9e-04)","0.0042(9e-04)","0.0034(7e-04)"
"8212_lkflag","0.0029(0.0023)","0.0046(0.0013)","0.0059(0.0011)","0.006(8e-04)","0.0068(0.0013)","0.0068(0.0011)"
"8301_rbf","0.0089(0.0015)","0.0082(0.0013)","0.0085(7e-04)","0.0083(9e-04)","0.0081(0.0012)","0.0074(0.0011)"
"8301_lkflag","0.0031(9e-04)","0.0047(9e-04)","0.0063(6e-04)","0.0064(5e-04)","0.0066(7e-04)","0.0067(7e-04)"
"8302_rbf","0.0082(0.0018)","0.0077(0.0014)","0.0083(0.0012)","0.0079(7e-04)","0.0075(6e-04)","0.008(7e-04)"
"8302_lkflag","0.0027(7e-04)","0.0052(9e-04)","0.0055(7e-04)","0.0061(4e-04)","0.0061(6e-04)","0.0063(5e-04)"
