"","500","1000","2000","5000","10000","20000"
"7022_lkflag","0.0018(0.0036)","0.0076(0.0101)","0.0206(0.0213)","0.0275(0.0119)","0.0421(0.0186)","0.0292(0.0066)"
"7101_rbf","0.0889(0.1136)","0.0969(0.0731)","0.1471(0.0596)","0.1137(0.0383)","0.1208(0.0298)","0.1357(0.0211)"
"7101_lkflag","0.0363(0.0213)","0.0644(0.0437)","0.1106(0.0503)","0.0943(0.0318)","0.1032(0.0241)","0.1214(0.0238)"
"7102_rbf","0.1002(0.153)","0.0657(0.0458)","0.0866(0.0468)","0.0909(0.0266)","0.0923(0.017)","0.0849(0.0119)"
"7102_lkflag","0.0557(0.0805)","0.0682(0.0311)","0.0687(0.0469)","0.0777(0.0237)","0.0856(0.0157)","0.0808(0.0145)"
"8101_rbf","0.0065(0.0183)","0.0035(0.0047)","0.0081(0.0082)","0.0072(0.0063)","0.0104(0.0046)","0.0095(0.0027)"
"8101_lkflag","0.002(0.0047)","0.0032(0.0046)","0.0067(0.0081)","0.0073(0.0078)","0.0102(0.0039)","0.0112(0.0051)"
"8102_rbf","0.0151(0.0292)","0.0126(0.0208)","0.0141(0.0156)","0.031(0.0259)","0.0335(0.016)","0.0374(0.0123)"
"8102_lkflag","0.0061(0.0117)","0.0037(0.0072)","0.0113(0.0173)","0.0257(0.0239)","0.0259(0.0109)","0.0307(0.0091)"
"8111_rbf","0.0175(0.0156)","0.0326(0.0219)","0.0239(0.0102)","0.0255(0.0051)","0.0225(0.0035)","0.022(0.0027)"
"8111_lkflag","0.0124(0.0092)","0.0233(0.0113)","0.0197(0.007)","0.0239(0.004)","0.021(0.0027)","0.0216(0.0031)"
"8112_rbf","0.0198(0.0186)","0.015(0.0106)","0.0159(0.0037)","0.016(0.0023)","0.0168(0.0018)","0.0172(0.0018)"
"8112_lkflag","0.0099(0.0071)","0.0114(0.0053)","0.0125(0.0026)","0.0131(0.0023)","0.0143(0.0012)","0.0143(0.001)"
"8121_rbf","0.0239(0.0262)","0.0475(0.0267)","0.0444(0.0188)","0.0518(0.0182)","0.0433(0.0102)","0.0471(0.0053)"
"8121_lkflag","0.0145(0.0112)","0.0281(0.0139)","0.0293(0.0134)","0.0358(0.0117)","0.0307(0.0076)","0.0381(0.0038)"
"8122_rbf","0.0196(0.0182)","0.0196(0.0216)","0.0244(0.019)","0.0252(0.0212)","0.0225(0.0073)","0.0227(0.0047)"
"8122_lkflag","0.005(0.0045)","0.0143(0.0074)","0.0253(0.0183)","0.0268(0.0204)","0.0248(0.0095)","0.0245(0.0044)"
"8201_rbf","0.0346(0.0086)","0.0351(0.013)","0.0388(0.013)","0.0326(0.0058)","0.0312(0.0047)","0.0322(0.003)"
"8201_lkflag","0.0153(0.0054)","0.0224(0.0098)","0.0286(0.0086)","0.0265(0.0043)","0.0269(0.0039)","0.0286(0.0023)"
"8202_rbf","0.025(0.0104)","0.034(0.0083)","0.0327(0.007)","0.0368(0.0083)","0.0375(0.0053)","0.0367(0.002)"
"8202_lkflag","0.0204(0.0135)","0.0247(0.0062)","0.0302(0.0068)","0.0325(0.0066)","0.0357(0.006)","0.035(0.0021)"
"8211_rbf","0.0302(0.0303)","0.024(0.0201)","0.0399(0.0212)","0.0409(0.0169)","0.0393(0.0102)","0.039(0.0091)"
"8211_lkflag","0.0187(0.0215)","0.0202(0.0232)","0.0439(0.0237)","0.0376(0.016)","0.037(0.0077)","0.0377(0.0086)"
"8212_rbf","0.0183(0.0192)","0.0148(0.0146)","0.0233(0.0104)","0.0273(0.007)","0.0243(0.0064)","0.0241(0.0061)"
"8212_lkflag","0.0141(0.0152)","0.0099(0.0125)","0.0302(0.0152)","0.0309(0.0089)","0.0281(0.007)","0.0264(0.006)"
"8301_rbf","0.0262(0.0113)","0.0395(0.0152)","0.0402(0.0087)","0.0395(0.0059)","0.036(0.0064)","0.0381(0.0032)"
"8301_lkflag","0.0173(0.013)","0.0264(0.0112)","0.0336(0.0087)","0.0335(0.0045)","0.032(0.0063)","0.0324(0.0026)"
"8302_rbf","0.0327(0.0277)","0.0592(0.0396)","0.0543(0.0259)","0.0486(0.015)","0.0523(0.018)","0.0448(0.0076)"
"8302_lkflag","0.0207(0.0135)","0.0362(0.0201)","0.0377(0.014)","0.0381(0.0099)","0.0459(0.0151)","0.0404(0.0062)"
